budget,budget_saturation_fraction,chunk,classification,decode_stalled_steps,max_waiting_queue,n_requests,param_arrival_gap,param_budget,param_chunk,param_hog_prompt,param_hog_sizes,param_n_hogs,param_n_runners,param_runner_output,param_shape,param_size_disparity,param_staggered,prefill_stalled_steps,primary_objective_best_policy,primary_objective_classification,primary_objective_max_min_spread,shape,window_idx
800,0.5595,512,SATURATED,0,3,5,0.002,800,512,,"[47946, 4000, 60241]",3,2,20,admission_reorder,15.06,,94,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,118
1536,0.3333,512,CONTENTION_VISIBLE,0,8,12,0.002,1536,512,,"[37415, 10765, 15459, 2000]",4,8,40,admission_reorder,18.71,,25,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,119
300,0.6435,512,SATURATED,0,8,10,0.005,300,512,,"[20027, 2000]",2,8,40,admission_reorder,10.01,,74,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,120
2048,0.0,512,UNDERLOADED,0,3,3,0.0,2048,512,,"[55132, 4000, 65999]",3,0,0,admission_reorder,16.5,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,121
300,0.9955,512,SATURATED,0,4,4,0.0,300,512,,"[4000, 30000, 51814, 45879]",4,0,0,admission_reorder,12.95,,286,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,122
2048,0.0,512,UNDERLOADED,0,3,6,0.001,2048,512,,"[5114, 500, 2623]",3,3,10,admission_reorder,10.23,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,123
1536,0.0889,512,CONTENTION_VISIBLE,0,8,11,0.001,1536,512,,"[4000, 43932, 45502]",3,8,10,admission_reorder,11.38,,7,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,124
600,0.5369,512,SATURATED,0,4,6,0.005,600,512,,"[13806, 55575, 4000, 62148]",4,2,40,admission_reorder,15.54,,131,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,125
800,0.25,512,CONTENTION_VISIBLE,0,8,10,0.001,800,512,,"[2800, 500]",2,8,5,admission_reorder,5.6,,1,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,126
512,0.9375,512,SATURATED,0,4,4,0.0,512,512,,"[8554, 2000, 2428, 2594]",4,0,0,admission_reorder,4.28,,25,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,127
1536,0.2679,512,CONTENTION_VISIBLE,0,8,12,0.005,1536,512,,"[1000, 7744, 8287, 14228]",4,8,40,admission_reorder,14.23,,11,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,128
1536,0.0,512,UNDERLOADED,0,8,10,0.002,1536,512,,"[6176, 1000]",2,8,5,admission_reorder,6.18,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,129
2048,0.0,512,UNDERLOADED,0,3,3,0.0,2048,512,,"[26484, 10344, 4000]",3,0,0,admission_reorder,6.62,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,130
300,0.9667,512,SATURATED,0,2,2,0.0,300,512,,"[16414, 1000]",2,0,0,admission_reorder,16.41,,54,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,131
1024,0.7105,512,SATURATED,0,7,10,0.001,1024,512,,"[12748, 17716, 1000]",3,7,10,admission_reorder,17.72,,27,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,132
1024,0.5583,512,SATURATED,0,4,4,0.0,1024,512,,"[30694, 14261, 46660, 4000]",4,0,0,admission_reorder,11.67,,59,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,133
512,0.92,512,SATURATED,0,4,4,0.0,512,512,,"[3964, 500, 1740, 5670]",4,0,0,admission_reorder,11.34,,12,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,134
600,0.7692,512,SATURATED,0,8,11,0.001,600,512,,"[9319, 2580, 500]",3,8,5,admission_reorder,18.64,,20,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,135
512,0.6207,512,SATURATED,0,7,9,0.002,512,512,,"[8325, 1000]",2,7,10,admission_reorder,8.33,,18,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,136
400,0.9615,512,SATURATED,0,2,2,0.0,400,512,,"[18378, 2000]",2,0,0,admission_reorder,9.19,,45,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,137
400,0.7338,512,SATURATED,0,3,5,0.001,400,512,,"[14307, 2000, 29108]",3,2,40,admission_reorder,14.55,,113,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,138
800,0.7692,512,SATURATED,0,4,4,0.0,800,512,,"[619, 500, 5458, 2369]",4,0,0,admission_reorder,10.92,,2,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,139
400,0.7879,512,SATURATED,0,6,8,0.001,400,512,,"[2000, 29204]",2,6,20,admission_reorder,14.6,,78,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,140
300,0.92,512,SATURATED,0,2,2,0.0,300,512,,"[500, 6447]",2,0,0,admission_reorder,12.9,,1,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,141
512,0.971,512,SATURATED,0,3,3,0.0,512,512,,"[19267, 14189, 1000]",3,0,0,admission_reorder,19.27,,65,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,142
2048,0.0,512,UNDERLOADED,0,3,3,0.0,2048,512,,"[500, 4562, 3257]",3,0,0,admission_reorder,9.12,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,143
1536,0.0385,512,UNDERLOADED,0,6,9,0.005,1536,512,,"[11025, 5418, 1000]",3,6,20,admission_reorder,11.03,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,144
600,0.7091,512,SATURATED,0,3,3,0.0,600,512,,"[2000, 18029, 10542]",3,0,0,admission_reorder,9.01,,4,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,145
300,0.9636,512,SATURATED,0,3,3,0.0,300,512,,"[1981, 13089, 1000]",3,0,0,admission_reorder,13.09,,50,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,146
2048,0.0,512,UNDERLOADED,0,6,9,0.001,2048,512,,"[4187, 2000, 6628]",3,6,20,admission_reorder,3.31,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,147
400,0.6168,512,SATURATED,0,8,11,0.005,400,512,,"[2000, 6102, 18500]",3,8,40,admission_reorder,9.25,,66,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,148
600,0.6,512,SATURATED,0,2,2,0.0,600,512,,"[1742, 500]",2,0,0,admission_reorder,3.48,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,149
400,0.9655,512,SATURATED,0,4,4,0.0,400,512,,"[5693, 9094, 1000, 6842]",4,0,0,admission_reorder,9.09,,39,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,150
800,0.0625,512,UNDERLOADED,0,2,2,0.0,800,512,,"[1000, 15279]",2,0,0,admission_reorder,15.28,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,151
1536,0.0476,512,UNDERLOADED,0,4,4,0.0,1536,512,,"[645, 500, 5136, 9607]",4,0,0,admission_reorder,19.21,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,152
800,0.5714,512,SATURATED,0,5,8,0.002,800,512,,"[3799, 2063, 1000]",3,5,5,admission_reorder,3.8,,8,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,153
1024,0.8472,512,SATURATED,0,4,6,0.005,1024,512,,"[4000, 6888, 27279, 26971]",4,2,10,admission_reorder,6.82,,61,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,154
1024,0.4706,512,CONTENTION_VISIBLE,0,3,3,0.0,1024,512,,"[8178, 2000, 2366]",3,0,0,admission_reorder,4.09,,3,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,155
600,0.8136,512,SATURATED,0,3,3,0.0,600,512,,"[12856, 18680, 2000]",3,0,0,admission_reorder,9.34,,25,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,156
512,0.8,512,SATURATED,0,3,3,0.0,512,512,,"[500, 1301, 2632]",3,0,0,admission_reorder,5.27,,3,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,157
1536,0.25,512,CONTENTION_VISIBLE,0,4,8,0.005,1536,512,,"[8421, 500, 3687, 7671]",4,4,20,admission_reorder,16.84,,2,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,158
2048,0.0,512,UNDERLOADED,0,4,6,0.005,2048,512,,"[4000, 35039]",2,4,40,admission_reorder,8.76,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,159
1024,0.5156,512,SATURATED,0,3,3,0.0,1024,512,,"[17058, 4000, 27889]",3,0,0,admission_reorder,6.97,,7,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,160
512,0.7657,512,SATURATED,0,4,7,0.005,512,512,,"[21192, 22430, 21156, 4000]",4,3,40,admission_reorder,5.61,,134,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,161
600,0.2857,512,UNDERLOADED,0,2,2,0.0,600,512,,"[4000, 10282]",2,0,0,admission_reorder,2.57,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,162
600,0.7391,512,SATURATED,0,6,8,0.002,600,512,,"[8495, 2000]",2,6,5,admission_reorder,4.25,,15,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,163
600,0.2264,512,CONTENTION_VISIBLE,0,7,9,0.005,600,512,,"[8331, 1000]",2,7,40,admission_reorder,8.33,,7,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,164
800,0.5686,512,SATURATED,0,6,10,0.002,800,512,,"[4000, 12911, 6215, 10322]",4,6,5,admission_reorder,3.23,,29,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,165
400,0.6963,512,SATURATED,0,4,7,0.001,400,512,,"[15382, 1000, 8721, 12605]",4,3,40,admission_reorder,15.38,,94,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,166
800,0.3692,512,CONTENTION_VISIBLE,0,8,12,0.005,800,512,,"[5754, 2000, 7689, 5179]",4,8,40,admission_reorder,3.84,,24,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,167
300,0.9726,512,SATURATED,0,4,4,0.0,300,512,,"[9990, 7264, 1000, 3177]",4,0,0,admission_reorder,9.99,,60,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,168
2048,0.0,512,UNDERLOADED,0,2,2,0.0,2048,512,,"[1000, 11963]",2,0,0,admission_reorder,11.96,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,169
512,0.6525,512,SATURATED,0,2,4,0.002,512,512,,"[37427, 2000]",2,2,40,admission_reorder,18.71,,77,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,170
600,0.6207,512,SATURATED,0,3,5,0.001,600,512,,"[9232, 4000]",2,3,10,admission_reorder,2.31,,17,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,171
300,0.9811,512,SATURATED,0,2,2,0.0,300,512,,"[27206, 4000]",2,0,0,admission_reorder,6.8,,90,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,172
400,0.92,512,SATURATED,0,5,8,0.002,400,512,,"[7232, 1000, 19512]",3,5,5,admission_reorder,19.51,,69,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,173
512,0.9262,512,SATURATED,0,5,7,0.002,512,512,,"[66809, 4000]",2,5,10,admission_reorder,16.7,,138,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,174
400,0.9643,512,SATURATED,0,3,3,0.0,400,512,,"[12660, 2000, 7213]",3,0,0,admission_reorder,6.33,,36,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,175
600,0.8065,512,SATURATED,0,4,4,0.0,600,512,,"[7408, 3988, 5423, 500]",4,0,0,admission_reorder,14.82,,20,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,176
1536,0.4444,512,CONTENTION_VISIBLE,0,4,4,0.0,1536,512,,"[2427, 1000, 2151, 2602]",4,0,0,admission_reorder,2.6,,1,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,177
512,0.9469,512,SATURATED,0,6,10,0.002,512,512,,"[4000, 4298, 19651, 27151]",4,6,5,admission_reorder,6.79,,107,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,178
600,0.939,512,SATURATED,0,3,3,0.0,600,512,,"[39360, 4000, 4806]",3,0,0,admission_reorder,9.84,,45,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,179
1536,0.0,512,UNDERLOADED,0,5,8,0.001,1536,512,,"[500, 9336, 4584]",3,5,20,admission_reorder,18.67,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,180
1536,0.2105,512,CONTENTION_VISIBLE,0,4,4,0.0,1536,512,,"[2368, 1000, 8968, 1797]",4,0,0,admission_reorder,8.97,,1,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,181
300,0.945,512,SATURATED,0,6,10,0.001,300,512,,"[16706, 18898, 19976, 1000]",4,6,10,admission_reorder,19.98,,189,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,182
1024,0.5,512,SATURATED,0,6,9,0.001,1024,512,,"[5610, 2000, 6528]",3,6,10,admission_reorder,3.26,,11,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,183
1024,0.75,512,SATURATED,0,4,4,0.0,1024,512,,"[3059, 1000, 5421, 4453]",4,0,0,admission_reorder,5.42,,5,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,184
300,0.9185,512,SATURATED,0,8,12,0.001,300,512,,"[1000, 17238, 14270, 4558]",4,8,10,admission_reorder,17.24,,124,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,185
512,0.9899,512,SATURATED,0,3,3,0.0,512,512,,"[4000, 55752, 41315]",3,0,0,admission_reorder,13.94,,116,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,186
600,0.093,512,UNDERLOADED,0,2,2,0.0,600,512,,"[4000, 39932]",2,0,0,admission_reorder,9.98,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,187
300,0.913,512,SATURATED,0,4,7,0.001,300,512,,"[1000, 13100, 4940]",3,4,5,admission_reorder,13.1,,63,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,188
600,0.3929,512,CONTENTION_VISIBLE,0,4,4,0.0,600,512,,"[5238, 500, 857, 8125]",4,0,0,admission_reorder,16.25,,10,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,189
400,0.9831,512,SATURATED,0,8,12,0.001,400,512,,"[42979, 4000, 40904, 51292]",4,8,5,admission_reorder,12.82,,348,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,190
400,0.9331,512,SATURATED,0,3,6,0.005,400,512,,"[4000, 52832, 60282]",3,3,20,admission_reorder,15.07,,292,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,191
512,0.4384,512,CONTENTION_VISIBLE,0,7,11,0.005,512,512,,"[3225, 500, 4976, 7674]",4,7,40,admission_reorder,15.35,,32,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,192
2048,0.0476,512,UNDERLOADED,0,4,7,0.005,2048,512,,"[7814, 31308, 2000, 16482]",4,3,40,admission_reorder,15.65,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,193
1536,0.3889,512,CONTENTION_VISIBLE,0,3,6,0.001,1536,512,,"[8047, 4829, 4000]",3,3,10,admission_reorder,2.01,,6,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,194
2048,0.0,512,UNDERLOADED,0,5,8,0.005,2048,512,,"[4000, 63818, 77266]",3,5,40,admission_reorder,19.32,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,195
800,0.7857,512,SATURATED,0,3,3,0.0,800,512,,"[5766, 500, 3675]",3,0,0,admission_reorder,11.53,,1,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,196
400,0.3529,512,CONTENTION_VISIBLE,0,2,4,0.001,400,512,,"[500, 2175]",2,2,10,admission_reorder,4.35,,6,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,197
800,0.0435,512,UNDERLOADED,0,4,6,0.002,800,512,,"[8237, 500]",2,4,20,admission_reorder,16.48,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,198
512,0.9845,512,SATURATED,0,2,2,0.0,512,512,,"[61367, 4000]",2,0,0,admission_reorder,15.34,,119,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,199
2048,0.0,512,UNDERLOADED,0,3,3,0.0,2048,512,,"[35263, 4000, 63375]",3,0,0,admission_reorder,15.84,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,200
600,0.3056,512,UNDERLOADED,0,2,2,0.0,600,512,,"[17811, 1000]",2,0,0,admission_reorder,17.81,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,201
600,0.087,512,UNDERLOADED,0,2,2,0.0,600,512,,"[4000, 42869]",2,0,0,admission_reorder,10.72,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,202
1536,0.0,512,UNDERLOADED,0,2,2,0.0,1536,512,,"[5292, 500]",2,0,0,admission_reorder,10.58,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,203
400,0.9898,512,SATURATED,0,4,4,0.0,400,512,,"[4000, 15302, 4775, 54173]",4,0,0,admission_reorder,13.54,,60,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,204
1536,0.2222,512,CONTENTION_VISIBLE,0,8,12,0.002,1536,512,,"[1000, 9069, 3980, 16745]",4,8,20,admission_reorder,16.75,,7,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,205
1024,0.9143,512,SATURATED,0,4,4,0.0,1024,512,,"[4000, 34106, 67067, 31781]",4,0,0,admission_reorder,16.77,,66,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,206
800,0.6316,512,SATURATED,0,7,11,0.005,800,512,,"[2000, 12089, 11573, 12605]",4,7,20,admission_reorder,6.3,,36,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,207
2048,0.0233,512,UNDERLOADED,0,4,8,0.002,2048,512,,"[10956, 2520, 1000, 4067]",4,4,40,admission_reorder,10.96,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,208
600,0.8774,512,SATURATED,0,3,3,0.0,600,512,,"[36168, 23640, 2000]",3,0,0,admission_reorder,18.08,,71,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,209
600,0.6667,512,SATURATED,0,2,2,0.0,600,512,,"[15887, 2000]",2,0,0,admission_reorder,7.94,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,210
600,0.3684,512,CONTENTION_VISIBLE,0,7,9,0.005,600,512,,"[9014, 500]",2,7,5,admission_reorder,18.03,,2,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,211
2048,0.0,512,UNDERLOADED,0,5,8,0.001,2048,512,,"[8686, 2000, 4506]",3,5,10,admission_reorder,4.34,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,212
400,0.6562,512,SATURATED,0,6,9,0.001,400,512,,"[500, 807, 7051]",3,6,10,admission_reorder,14.1,,21,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,213
600,0.5854,512,SATURATED,0,3,5,0.002,600,512,,"[38197, 72851, 4000]",3,2,5,admission_reorder,18.21,,119,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,214
2048,0.0,512,UNDERLOADED,0,4,7,0.002,2048,512,,"[3695, 6078, 500, 4662]",4,3,10,admission_reorder,12.16,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,215
512,0.8397,512,SATURATED,0,5,8,0.002,512,512,,"[37258, 15280, 4000]",3,5,20,admission_reorder,9.31,,110,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,216
400,0.8636,512,SATURATED,0,7,11,0.005,400,512,,"[3809, 2000, 25065, 22278]",4,7,20,admission_reorder,12.53,,133,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,217
1536,0.4474,512,CONTENTION_VISIBLE,0,4,7,0.002,1536,512,,"[9091, 1000, 12301, 10133]",4,3,20,admission_reorder,12.3,,16,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,218
400,0.5217,512,SATURATED,0,4,7,0.002,400,512,,"[500, 2492, 2087]",3,4,10,admission_reorder,4.98,,12,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,219
2048,0.0,512,UNDERLOADED,0,3,3,0.0,2048,512,,"[2108, 1000, 1143]",3,0,0,admission_reorder,2.11,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,220
600,0.2264,512,CONTENTION_VISIBLE,0,6,8,0.002,600,512,,"[10511, 1000]",2,6,40,admission_reorder,10.51,,10,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,221
1024,0.0233,512,UNDERLOADED,0,3,5,0.002,1024,512,,"[14527, 1000]",2,3,40,admission_reorder,14.53,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,222
1024,0.0,512,UNDERLOADED,0,2,2,0.0,1024,512,,"[500, 9235]",2,0,0,admission_reorder,18.47,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,223
600,0.9375,512,SATURATED,0,4,4,0.0,600,512,,"[9263, 5514, 2843, 500]",4,0,0,admission_reorder,18.53,,26,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,224
1536,0.3182,512,UNDERLOADED,0,3,3,0.0,1536,512,,"[10599, 4293, 4000]",3,0,0,admission_reorder,2.65,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,225
1536,0.0,512,UNDERLOADED,0,3,5,0.005,1536,512,,"[4000, 19063]",2,3,40,admission_reorder,4.77,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,226
1536,0.0,512,UNDERLOADED,0,4,6,0.002,1536,512,,"[500, 1155]",2,4,20,admission_reorder,2.31,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,227
1536,0.0,512,UNDERLOADED,0,2,2,0.0,1536,512,,"[4000, 27370]",2,0,0,admission_reorder,6.84,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,228
300,0.9667,512,SATURATED,0,3,3,0.0,300,512,,"[8390, 500, 8789]",3,0,0,admission_reorder,17.58,,29,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,229
400,0.8397,512,SATURATED,0,3,6,0.005,400,512,,"[5204, 2000, 37091]",3,3,20,admission_reorder,18.55,,110,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,230
512,0.3636,512,CONTENTION_VISIBLE,0,7,10,0.001,512,512,,"[500, 3884, 2003]",3,7,20,admission_reorder,7.77,,12,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,231
1024,0.6333,512,SATURATED,0,6,9,0.005,1024,512,,"[9870, 9659, 500]",3,6,10,admission_reorder,19.74,,19,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,232
1536,0.5909,512,SATURATED,0,4,4,0.0,1536,512,,"[2000, 10673, 9740, 4748]",4,0,0,admission_reorder,5.34,,3,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,233
2048,0.0,512,UNDERLOADED,0,4,7,0.005,2048,512,,"[5003, 9496, 8738, 500]",4,3,5,admission_reorder,18.99,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,234
800,0.7708,512,SATURATED,0,4,4,0.0,800,512,,"[9993, 19432, 1000, 4105]",4,0,0,admission_reorder,19.43,,23,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,235
2048,0.0,512,UNDERLOADED,0,4,4,0.0,2048,512,,"[4776, 857, 500, 2067]",4,0,0,admission_reorder,9.55,,0,vllm_faithful,ALL_COMPLETE_OR_EFFECTIVELY_TIED,0.0,admission_reorder,236
